company,total_nodes,total_edges,data_nodes,actor_nodes,density,avg_degree,unique_relationships,relationship_types
Cboe_Global_Markets.graphml,57,68,37,20,0.021303258145363407,2.3859649122807016,2,"['COLLECT', 'SUBSUM']"
Motorola_Solutions.graphml,70,80,44,26,0.016563146997929608,2.2857142857142856,2,"['COLLECT', 'SUBSUM']"
Willis_Towers_Watson.graphml,93,118,82,11,0.013791491351098644,2.5376344086021505,2,"['COLLECT', 'SUBSUM']"
Cardinal_Health.graphml,13,14,7,6,0.08974358974358974,2.1538461538461537,2,"['COLLECT', 'SUBSUM']"
EPAM_Systems.graphml,15,14,7,8,0.06666666666666667,1.8666666666666667,1,['COLLECT']
Gilead_Sciences.graphml,98,110,78,20,0.011571638964864297,2.2448979591836733,2,"['COLLECT', 'SUBSUM']"
PayPal.graphml,103,125,82,21,0.011897963068722634,2.4271844660194173,2,"['COLLECT', 'SUBSUM']"
Keysight_Technologies.graphml,18,18,11,7,0.058823529411764705,2.0,2,"['COLLECT', 'SUBSUM']"
Aflac_old.graphml,53,78,41,12,0.02830188679245283,2.943396226415094,2,"['COLLECT', 'SUBSUM']"
Quest_Diagnostics.graphml,33,33,24,9,0.03125,2.0,2,"['COLLECT', 'SUBSUM']"
Apple_Inc..graphml,9,7,5,4,0.09722222222222222,1.5555555555555556,2,"['COLLECT', 'SUBSUM']"
Merck_&_Co..graphml,3,2,1,2,0.3333333333333333,1.3333333333333333,1,['COLLECT']
Coinbase.graphml,32,33,21,11,0.03326612903225806,2.0625,2,"['COLLECT', 'SUBSUM']"
Qualcomm.graphml,58,59,50,8,0.017846339987900785,2.0344827586206895,2,"['COLLECT', 'SUBSUM']"
Broadcom.graphml,39,40,35,4,0.02699055330634278,2.051282051282051,2,"['COLLECT', 'SUBSUM']"
Intuit.graphml,85,92,62,23,0.01288515406162465,2.164705882352941,2,"['COLLECT', 'SUBSUM']"
Akamai_Technologies.graphml,16,15,9,7,0.0625,1.875,2,"['COLLECT', 'SUBSUM']"
MetLife.graphml,10,9,8,2,0.1,1.8,2,"['COLLECT', 'SUBSUM']"
Palo_Alto_Networks.graphml,130,171,91,39,0.010196779964221825,2.6307692307692307,2,"['COLLECT', 'SUBSUM']"
Cencora.graphml,53,56,43,10,0.020319303338171262,2.1132075471698113,2,"['COLLECT', 'SUBSUM']"
Cisco.graphml,27,27,16,11,0.038461538461538464,2.0,2,"['COLLECT', 'SUBSUM']"
Dell_Technologies.graphml,53,53,48,5,0.019230769230769232,2.0,2,"['COLLECT', 'SUBSUM']"
Amphenol.graphml,28,30,21,7,0.03968253968253968,2.142857142857143,2,"['COLLECT', 'SUBSUM']"
Revvity.graphml,27,25,16,11,0.03561253561253561,1.8518518518518519,2,"['COLLECT', 'SUBSUM']"
Hartford_(The).graphml,36,33,27,9,0.02619047619047619,1.8333333333333333,2,"['COLLECT', 'SUBSUM']"
"Nasdaq,_Inc..graphml",49,50,32,17,0.021258503401360544,2.0408163265306123,2,"['COLLECT', 'SUBSUM']"
Arthur_J._Gallagher_&_Co..graphml,104,125,77,27,0.011669156086631815,2.4038461538461537,2,"['COLLECT', 'SUBSUM']"
JPMorgan_Chase.graphml,45,56,42,3,0.028282828282828285,2.488888888888889,2,"['COLLECT', 'SUBSUM']"
Citigroup.graphml,24,24,18,6,0.043478260869565216,2.0,2,"['COLLECT', 'SUBSUM']"
Hologic.graphml,17,17,15,2,0.0625,2.0,1,['COLLECT']
Autodesk.graphml,24,24,16,8,0.043478260869565216,2.0,2,"['COLLECT', 'SUBSUM']"
Huntington_Bancshares.graphml,18,18,14,4,0.058823529411764705,2.0,2,"['COLLECT', 'SUBSUM']"
Prudential_Financial.graphml,18,16,12,6,0.05228758169934641,1.7777777777777777,2,"['COLLECT', 'SUBSUM']"
Marsh_McLennan.graphml,24,25,17,7,0.04528985507246377,2.0833333333333335,2,"['COLLECT', 'SUBSUM']"
Charles_Schwab_Corporation.graphml,11,9,9,2,0.08181818181818182,1.6363636363636365,2,"['COLLECT', 'SUBSUM']"
Morgan_Stanley.graphml,30,29,22,8,0.03333333333333333,1.9333333333333333,2,"['COLLECT', 'SUBSUM']"
Wells_Fargo.graphml,4,3,3,1,0.25,1.5,2,"['COLLECT', 'SUBSUM']"
Danaher_Corporation.graphml,18,19,11,7,0.06209150326797386,2.111111111111111,2,"['COLLECT', 'SUBSUM']"
Analog_Devices.graphml,21,20,15,6,0.047619047619047616,1.9047619047619047,2,"['COLLECT', 'SUBSUM']"
Regeneron_Pharmaceuticals.graphml,57,78,50,7,0.02443609022556391,2.736842105263158,2,"['COLLECT', 'SUBSUM']"
BNY_Mellon.graphml,14,13,12,2,0.07142857142857142,1.8571428571428572,2,"['COLLECT', 'SUBSUM']"
Aflac.graphml,124,212,85,39,0.013899816417519015,3.4193548387096775,2,"['COLLECT', 'SUBSUM']"
American_International_Group.graphml,42,54,24,18,0.0313588850174216,2.5714285714285716,2,"['COLLECT', 'SUBSUM']"
Teradyne.graphml,35,39,26,9,0.03277310924369748,2.2285714285714286,2,"['COLLECT', 'SUBSUM']"
Amgen.graphml,35,36,28,7,0.030252100840336135,2.057142857142857,2,"['COLLECT', 'SUBSUM']"
KKR_&_Co..graphml,45,46,42,3,0.023232323232323233,2.0444444444444443,2,"['COLLECT', 'SUBSUM']"
Fidelity_National_Information_Services.graphml,11,11,4,7,0.1,2.0,2,"['COLLECT', 'SUBSUM']"
Johnson_&_Johnson.graphml,85,129,65,20,0.018067226890756304,3.0352941176470587,2,"['COLLECT', 'SUBSUM']"
GE_HealthCare.graphml,19,18,14,5,0.05263157894736842,1.894736842105263,2,"['COLLECT', 'SUBSUM']"
CVS_Health.graphml,26,25,11,15,0.038461538461538464,1.9230769230769231,2,"['COLLECT', 'SUBSUM']"
Aon_plc.graphml,23,22,17,6,0.043478260869565216,1.9130434782608696,2,"['COLLECT', 'SUBSUM']"
Texas_Instruments.graphml,20,23,14,6,0.060526315789473685,2.3,2,"['COLLECT', 'SUBSUM']"
Idexx_Laboratories.graphml,14,16,10,4,0.08791208791208792,2.2857142857142856,2,"['COLLECT', 'SUBSUM']"
Brown_&_Brown.graphml,30,31,22,8,0.035632183908045977,2.066666666666667,2,"['COLLECT', 'SUBSUM']"
Intercontinental_Exchange.graphml,152,217,124,28,0.009454513767863368,2.8552631578947367,2,"['COLLECT', 'SUBSUM']"
Visa_Inc..graphml,29,27,24,5,0.0332512315270936,1.8620689655172413,2,"['COLLECT', 'SUBSUM']"
Microsoft.graphml,318,403,231,87,0.003997777910045037,2.5345911949685536,2,"['COLLECT', 'SUBSUM']"
Abbott_Laboratories.graphml,55,78,43,12,0.026262626262626262,2.8363636363636364,2,"['COLLECT', 'SUBSUM']"
Chubb_Limited.graphml,105,161,92,13,0.014743589743589743,3.066666666666667,2,"['COLLECT', 'SUBSUM']"
Everest_Group.graphml,17,17,11,6,0.0625,2.0,2,"['COLLECT', 'SUBSUM']"
Intel.graphml,41,43,32,9,0.02621951219512195,2.097560975609756,2,"['COLLECT', 'SUBSUM']"
Applied_Materials.graphml,18,19,11,7,0.06209150326797386,2.111111111111111,2,"['COLLECT', 'SUBSUM']"
State_Street_Corporation.graphml,16,17,8,8,0.07083333333333333,2.125,2,"['COLLECT', 'SUBSUM']"
Elevance_Health.graphml,13,11,11,2,0.07051282051282051,1.6923076923076923,2,"['COLLECT', 'SUBSUM']"
PTC_Inc..graphml,35,36,23,12,0.030252100840336135,2.057142857142857,2,"['COLLECT', 'SUBSUM']"
NetApp.graphml,13,14,5,8,0.08974358974358974,2.1538461538461537,2,"['COLLECT', 'SUBSUM']"
Travelers_Companies_(The).graphml,38,44,30,8,0.031294452347083924,2.3157894736842106,2,"['COLLECT', 'SUBSUM']"
Bio-Techne.graphml,32,33,26,6,0.03326612903225806,2.0625,2,"['COLLECT', 'SUBSUM']"
Charles_River_Laboratories.graphml,25,24,16,9,0.04,1.92,2,"['COLLECT', 'SUBSUM']"
Micron_Technology.graphml,42,52,37,5,0.030197444831591175,2.4761904761904763,2,"['COLLECT', 'SUBSUM']"
Zoetis.graphml,24,24,22,2,0.043478260869565216,2.0,2,"['COLLECT', 'SUBSUM']"
T._Rowe_Price.graphml,37,37,19,18,0.027777777777777776,2.0,2,"['COLLECT', 'SUBSUM']"
Centene_Corporation.graphml,82,99,59,23,0.014905149051490514,2.4146341463414633,2,"['COLLECT', 'SUBSUM']"
Universal_Health_Services.graphml,29,28,24,5,0.034482758620689655,1.9310344827586208,2,"['COLLECT', 'SUBSUM']"
Gen_Digital.graphml,95,109,87,8,0.012206047032474803,2.294736842105263,2,"['COLLECT', 'SUBSUM']"
Assurant.graphml,34,30,24,10,0.026737967914438502,1.7647058823529411,2,"['COLLECT', 'SUBSUM']"
ON_Semiconductor.graphml,74,90,59,15,0.016660496112550906,2.4324324324324325,2,"['COLLECT', 'SUBSUM']"
Adobe_Inc..graphml,37,37,29,8,0.027777777777777776,2.0,2,"['COLLECT', 'SUBSUM']"
Corpay.graphml,71,74,59,12,0.01488933601609658,2.084507042253521,2,"['COLLECT', 'SUBSUM']"
UnitedHealth_Group.graphml,18,19,15,3,0.06209150326797386,2.111111111111111,2,"['COLLECT', 'SUBSUM']"
