node,node_type,pagerank,betweenness,in_degree
limit personal data,Category,0.0007650877650046898,0.0,3
type of service,Category,0.0007644817675129307,0.0,2
microsoft entra id,Category,0.000763945261463026,0.0,3
exist seagate account,Category,0.0007639041238519557,0.0,2
information in legal proceeding,Category,0.0007634639444910602,0.0,3
notification,Category,0.0007634195439027043,0.0,3
trend,Category,0.0007628874710086396,0.0,2
information about page you visit,Category,0.0007628874710086396,0.0,2
information share through your,Category,0.0007623813974819736,0.0,3
button display on cover sites,Category,0.0007621298466943123,0.0,3
different level,Category,0.0007620214334013704,0.0,2
specific piece of personal data we collect about you,DataPoint,0.000761854510797616,0.0,3
lidar radar datum,Category,0.0007618545107976158,0.0,3
information about product,Category,0.0007618545107976158,0.0,3
personal datum register profession,Category,0.0007618401239774304,0.0,3
information from reviewer relate to personal preference,Category,0.0007616348094695539,0.0,2
information consistent,Category,0.0007613311653089791,0.0,3
acquire personal information about patient,Category,0.0007612748492571729,0.0,2
information regard use of sites,Category,0.000759658237729213,0.0,3
uniquely identifiable mobile device information,Category,0.0007587954605143745,0.0,3
personal information for personalized advertising on website,Category,0.0007583249314191238,0.0,2
standard information browser send to we as internet protocol,Category,0.000757993351507095,0.0,2
version,Category,0.0007577327060209803,0.0,8
vehicle license plate number parking spot,Category,0.0007576912453650242,0.0,2
datum collect,Category,0.0007576468447766684,0.0,3
datum with control affiliate,Category,0.0007576468447766684,0.0,3
personal information concern you you provide to verisign ii,Category,0.0007574148503839811,0.0,2
information about account,Category,0.0007572376040063315,0.0,3
technical control datum,Category,0.0007570417171595724,0.0,2
information about use of website include for analytic,Category,0.0007568168804730697,0.0,2
information about visit to page on website,Category,0.0007568168804730697,0.0,2
personal datum base on own practice,Category,0.0007562687328965777,0.0,3
personal datum of cboe customer in japan,Category,0.0007562354062838391,0.0,2
personal information from user of sites be,Category,0.0007560674248513946,0.0,2
datum about interest,Category,0.0007558354504923045,0.0,2
related log,Category,0.0007552416154292599,0.0,3
specific product information,Category,0.0007546755786968549,0.0,2
information on quality,Category,0.0007543903643209245,0.0,3
billing datum,Category,0.0007535722860133781,0.0,2
datum we collect from enterprise developer software,Category,0.0007533528896123973,0.0,4
information regard complaint procedure,Category,0.0007530227613883389,0.0,2
personal information with co - promotion company,Category,0.000752793163815715,0.0,2
personal information about child,Category,0.0007527674025172438,0.0,2
diagnostic data,Category,0.0007526747072722699,0.0,3
datum operate,Category,0.00075255232799076,0.0,3
device microphone,Category,0.0007518741456506324,0.0,2
control,Category,0.0007518741456506324,0.0,2
few control,Category,0.0007518741456506324,0.0,2
relate sms text from mobile operator,Category,0.0007518741456506324,0.0,2
limit require diagnostic datum,Category,0.0007518741456506324,0.0,2
datum as search query,Category,0.0007518741456506324,0.0,2
text message,DataPoint,0.0007473894761969753,0.0,4
email content,DataPoint,0.0007429948889510303,0.0,3
sensitive personal information,DataPoint,0.0007405453637922396,0.001540347753292385,17
voice identification,DataPoint,0.0007303354990043218,0.0,4
content information display on webpage,Category,0.0007242116991796417,0.0,2
log file,Category,0.0007236770381798115,0.0,5
pixel,Category,0.0007135999353248951,0.00011632955478993165,13
inference draw from for preference,DataPoint,0.0007124898716868701,0.0,6
domain name,DataPoint,0.0007115623612920733,0.0,5
information identify,Category,0.0007090241350118238,0.0,4
opt signal,Category,0.000708548641998133,0.0,5
customer satisfaction,Category,0.0007060570266137628,0.0,4
information you submit,DataPoint,0.0007029105370720517,0.0,4
mailing,DataPoint,0.0007005955752507934,0.0,3
personal information need from you,DataPoint,0.0007005955752507934,0.0,3
usage,Category,0.0006991630008176105,0.0,4
sufficient detail,Category,0.0006986904545059258,0.0,2
description,Category,0.000697480996075114,0.0,4
operating system,Category,0.0006860863683339905,0.0,5
payment data,DataPoint,0.0006833850239882294,0.0,4
sensitive category,DataPoint,0.0006809601199624134,0.0,3
language preference,DataPoint,0.0006764730000965148,0.0,6
inference draw from,DataPoint,0.00067421512213638,0.0,4
personal information collected as third party service provider,Category,0.0006688350763049856,0.0,3
model,Category,0.0006638433291375189,0.0,4
browser type for administrative purpose,Category,0.0006578270868297326,0.0,3
document,Category,0.0006555864960923469,0.0,3
information about interest,DataPoint,0.0006548364679151052,0.0,4
analytic information,Category,0.000653153963980158,0.0,4
personal information reveal,DataPoint,0.0006485836101201205,0.0,5
ancestry,Category,0.0006453763064293712,0.0,3
html5,Category,0.000642291917850063,0.0,5
initial,DataPoint,0.0006396036073033353,0.0,3
special datum,DataPoint,0.0006396036073033353,0.0,3
professional disciplinary information,DataPoint,0.0006396036073033353,0.0,3
paper,DataPoint,0.0006396036073033353,0.0,3
characteristics,DataPoint,0.0006396036073033353,0.0,3
device type,Category,0.0006386369147215343,0.0,6
browsing / search history,Category,0.0006306129387695515,0.00068167146438551,18
how personal information,Category,0.0006260837793965286,0.0,6
different kind,DataPoint,0.0006246980500998323,0.0,3
information list,Category,0.0006239197136867449,0.0,4
h. data transfer,Category,0.000622765982268942,0.0,3
personal information in connection with online feature,Category,0.0006205384105676322,0.0,2
request,Category,0.0006189940388934318,1.685033221857183e-05,8
personal data submit,DataPoint,0.0006189253509737965,0.0,3
in circumstance allow information protect characteristic under california law,DataPoint,0.0006189253509737965,0.0,3
information from,Category,0.0006151100951781587,0.0,4
information tailor to product suite,Category,0.000605433417375571,0.0,3
information on individual cover,Category,0.0006050095787370821,0.0,3
cctv footage,Category,0.0006040197937702932,0.0,3
payment link,Category,0.0006026634593409404,0.0,3
billing,DataPoint,0.0006017086479419323,0.0,4
region,DataPoint,0.0005997328346872413,0.0,3
personal information collect for above mention process in accordance with legal obligation,Category,0.0005996607182495353,0.0,2
citi account information,Category,0.000599170109680142,0.0,3
category of personal information,DataPoint,0.00059872412427483,0.0,5
personal datum collect in connection with services,DataPoint,0.0005982470946442575,0.0,3
payment information for purchase with f5,DataPoint,0.0005982470946442575,0.0,3
information about experience,DataPoint,0.0005982470946442575,0.0,3
test result,DataPoint,0.0005982470946442575,0.0,3
personal information with trust third,Category,0.0005970510067097731,0.0,2
personal data include,Category,0.0005959764196051652,0.0,2
personal data in united states,Category,0.0005959764196051652,0.0,2
write confirmation you authorize they,Category,0.0005949723609055458,0.0,3
write proof of authorization,Category,0.0005949723609055457,0.0,3
accurate insurance premium rate quote,Category,0.0005941665886921413,0.0,2
threat,Category,0.00059385225972936,0.0,4
personal information for reason,Category,0.0005926287628547029,0.0,4
public profile information,DataPoint,0.0005894415734185489,0.0,3
web server logs,Category,0.0005894415734185487,0.0,3
problem description,Category,0.0005882555692657443,0.0,3
code sample,Category,0.0005859119940400567,0.0,2
extensive documentation,Category,0.0005859119940400567,0.0,2
photo identification,Category,0.0005855877046975492,0.0,3
personal datum you give we as,Category,0.0005836544874723274,0.0,2
information about application you download to mobile device,Category,0.0005808559882892636,0.0,2
survey response,DataPoint,0.0005790953382494525,0.0,3
message,Category,0.0005775688383147185,0.0,3
tag,Category,0.00057354617788901,0.0,7
personal data cover,DataPoint,0.0005717123520621152,0.0,3
software user information,Category,0.0005715670101094438,0.0,3
information you provide,Category,0.0005705963904970803,0.00020395347466741325,5
information from outside source,DataPoint,0.0005635231520319434,0.0,4
personal datum collect,Category,0.0005630674314412765,0.0,2
personal datum relate to individual in republic of china,Category,0.0005630674314412765,0.0,2
music list,Category,0.0005627335033503476,0.0,2
information from device,Category,0.0005626632811112155,0.0,3
analytic datum,DataPoint,0.0005626632811112155,0.0,3
sensory information,Category,0.0005626632811112155,0.0,3
site information,Category,0.0005617361943453688,0.0,4
technological access to information,Category,0.0005612381645107467,0.0,3
personal information with financial institution,Category,0.0005612381645107467,0.0,3
statement,Category,0.0005601849982046183,0.0,6
login credential,Category,0.0005599261162328948,0.0,5
sensitive personal data,DataPoint,0.0005596323356376535,6.330528244103305e-05,4
sufficient information allow,Category,0.0005595859404864382,0.0,6
payment information,DataPoint,0.0005584628226633365,6.359542505807072e-05,6
date of birth,DataPoint,0.000557999180384008,3.626425008539638e-06,12
california customer records,DataPoint,0.0005568905819851795,0.0,3
credit score,Category,0.0005568905819851795,0.0,3
datum collection,DataPoint,0.0005568905819851795,0.0,3
electronic information,Category,0.0005568905819851795,0.0,3
commercial information,DataPoint,0.0005556239847875417,0.0035417839340083123,15
time zone setting,DataPoint,0.0005517677244833705,0.0,4
browser plug type,DataPoint,0.0005517677244833705,0.0,4
controlled personal data,Category,0.0005510340957325762,0.0,2
services personal data,Category,0.0005510340957325762,0.0,2
relate datum,Category,0.0005508924149516909,0.0,3
health insurance number,DataPoint,0.0005496095300931679,0.0,4
country of residence,DataPoint,0.0005496095300931679,0.0,4
identity,Category,0.0005488845489656105,0.0,3
compliance information,DataPoint,0.0005488845489656105,0.0,3
account log financial account number,DataPoint,0.0005463796120276217,0.0,4
time passcode,Category,0.0005457185933029289,0.0,3
training,Category,0.0005448642246666459,0.0,3
entry,Category,0.0005415610336320344,0.0,5
cost estimate,Category,0.0005415610336320344,0.0,5
sensitive personal information for purpose,Category,0.0005415610336320344,0.0,5
product datum,DataPoint,0.0005406069129015858,0.0,4
user datum,DataPoint,0.0005406069129015858,0.0,4
website datum,DataPoint,0.0005406069129015858,0.0,4
information show,Category,0.0005398980703418146,0.0,3
personal datum collect from,Category,0.0005385054404788095,0.0,2
analytical information about user experience,Category,0.0005372172035919456,0.0,3
local store object,Category,0.0005366956095657856,0.0,2
information about preference,Category,0.0005366956095657856,0.0,2
information in united states,Category,0.00053665338911499,0.0,3
identification datum,Category,0.0005359264314277506,0.0,2
professional information datum to customer who subscribe to for own purpose include marketing,Category,0.0005359264314277506,0.0,2
statistical datum,DataPoint,0.0005357217944346069,0.0,3
ssn,DataPoint,0.0005349437047800173,0.0001315018415133931,14
server log,DataPoint,0.0005334339999153141,0.0,3
personal information in global database access,Category,0.0005313909327517502,0.0,2
public image,Category,0.0005308806899889542,0.0,3
transaction,DataPoint,0.000530253573553102,0.0,4
history of,Category,0.0005283526720897431,0.0,2
information you choose,Category,0.0005270794675781736,0.0,3
internet protocol,DataPoint,0.0005260366665370148,0.0,4
information in anonymize form,Category,0.0005251079908629183,0.0,2
license,DataPoint,0.0005225621045738302,0.0,4
infrared sensor,Category,0.0005219902291452099,0.0,2
us mortgage record,Category,0.0005218874162784161,0.0,2
public record,Category,0.0005218874162784161,0.0,2
product information,DataPoint,0.0005211493502450021,0.0,3
confirmation,DataPoint,0.0005211493502450021,0.0,3
encryption,DataPoint,0.0005192927194364065,0.0,4
mouse click,Category,0.0005155426500416675,0.0,3
sensitive personal,Category,0.0005155340693261019,0.0,3
communication data,DataPoint,0.0005155340693261019,0.0,3
credential,DataPoint,0.0005155340693261019,0.0,3
communication preference in,DataPoint,0.0005155340693261019,0.0,3
professional educational information,DataPoint,0.0005155340693261019,0.0,3
public profile,DataPoint,0.0005155340693261019,0.0,3
social medium relationship,DataPoint,0.0005155340693261019,0.0,3
commercial,Category,0.0005155340693261019,0.0,3
specific category,DataPoint,0.0005155340693261019,0.0,3
information on server in many country around world,Category,0.0005150602258921631,0.0,2
tax identification number,Category,0.0005150144372658724,0.0,5
occupation,DataPoint,0.0005117242853473761,0.0,4
information you post,Category,0.0005115386285582661,0.0,3
preferred language,DataPoint,0.0005113509757646715,0.0,3
text,Category,0.0005105705125372691,0.0,3
scroll activity,Category,0.0005097699509156318,0.0,2
mouse movement,Category,0.0005097699509156318,0.0,2
state identification card,DataPoint,0.0005052139276934387,0.0,3
chat,Category,0.0005049957804204065,0.0,3
information we have about you,Category,0.0005027790793526264,0.0,4
internet browser type,Category,0.0005005759180657778,0.0,4
access time,DataPoint,0.0004978765533971368,0.0,5
user,Category,0.0004976160002152386,0.0,2
contact,Category,0.000496071784639367,0.0009781149057316793,8
voice,Category,0.0004960206433263175,0.0,3
broad variety,Category,0.0004960066429857502,0.0,3
demographic,Category,0.000494855812996563,0.0,3
account access information,DataPoint,0.000494855812996563,0.0,3
share information,Category,0.00048732684970350976,0.0,3
personal datum customer elect,Category,0.0004862156292090677,0.0,3
professional title role,Category,0.0004862156292090677,0.0,3
social medium account information,Category,0.0004862156292090677,0.0,3
identity datum,Category,0.0004859938109911088,0.0,3
phone,DataPoint,0.00048598309458167127,0.0,3
browser information,Category,0.0004855365640308425,0.0,3
information about crime victim,Category,0.0004850051318627454,0.0,3
performance,DataPoint,0.0004839249233896257,0.0,3
etag,Category,0.00048352434367757743,0.0,4
spdi,DataPoint,0.000483360573366697,0.0,4
state identification card number,Category,0.00048259878063381696,0.0,4
personal identifier,DataPoint,0.00048156140118617844,0.0008376325141793949,14
personal datum of customer,Category,0.0004810663947285739,0.0,2
personal information to cdw entity,Category,0.0004807479985494307,0.0,2
bodily function,DataPoint,0.00047879198540621496,0.0,3
vital sign,DataPoint,0.00047879198540621496,0.0,3
sdk,Category,0.00047866610518327896,0.0,5
software development kits,Category,0.00047866610518327896,0.0,5
gifs,Category,0.00047866610518327896,0.0,5
site traffic,Category,0.00047866610518327896,0.0,5
photo,Category,0.00047853753436330644,1.909942485757028e-06,11
national identity detail,Category,0.00047417755666702405,0.0,3
unique identifi number,Category,0.00047417755666702405,0.0,3
business information,DataPoint,0.00047417755666702405,0.0,3
information about previous dealing with policyholder,Category,0.0004741285513511088,0.0,2
require information for application,Category,0.0004741285513511088,0.0,2
personal information about patient associate with orthodontic treatment,Category,0.0004739199536253945,0.0,2
personal information of information subject,Category,0.0004739199536253945,0.0,2
personal information for ongoing need achieve purpose set in notice,Category,0.0004739199536253945,0.0,2
information about service,Category,0.0004739173167436631,0.0,4
phi for public health activity,Category,0.00047351093603747443,0.0,3
health characteristic,DataPoint,0.00047301928628017907,0.0,3
datum identify you as individual seek health care service,DataPoint,0.00047301928628017907,0.0,3
measurement,DataPoint,0.00047301928628017907,0.0,3
reproductive health,DataPoint,0.00047301928628017907,0.0,3
personal information for,Category,0.0004728243214772603,0.0,2
personal information about visitor on site,Category,0.0004728243214772603,0.0,2
personal information of visitor,Category,0.0004728243214772603,0.0,2
transaction information receive from we to insurance company with you do business,Category,0.00047281481262247057,0.0,2
personal datum be,Category,0.0004728143141140856,0.0,3
credit / debit card number,Category,0.00047222212451230575,1.5704237433887173e-06,16
firewall,DataPoint,0.00047216350765129285,0.0,3
personally referable information,Category,0.00047174073504233126,0.0,2
list of datum controller,Category,0.00047174073504233126,0.0,2
personal data it receive on behalf of healthcare provider in accordance with hipaa notice of privacy practices,Category,0.00047174073504233126,0.0,2
operating system version,Category,0.00047100561295930276,0.0,3
action,Category,0.00047091579154228834,0.0,2
data storage,Category,0.00047019514794945224,0.0,2
datum controller,Category,0.00047019514794945224,0.0,2
anonymize anonymize aspect,Category,0.00047019514794945224,0.0,2
system management,Category,0.00047019514794945224,0.0,2
personal information with trust third party,Category,0.0004683378014087786,0.0,2
information with affiliate who provide product help market to customer,Category,0.0004683378014087786,0.0,2
functional cookies,DataPoint,0.00046825103108014685,0.0,3
artificial intelligence model,Category,0.0004675409118869974,0.0,2
personal datum you agree,Category,0.00046732243550166766,0.0,2
language,Category,0.00046709492406880854,0.0,5
computer type,Category,0.0004660841758853837,0.0,4
information be,DataPoint,0.0004657791760815781,0.0,3
information about equipment,Category,0.00046544732255001823,0.0,3
id information,DataPoint,0.0004653473220746529,0.0,3
delivery information,DataPoint,0.0004653048382521324,0.0,3
advertising cookies,DataPoint,0.00046497560301612376,0.0,3
personal datum not identify you,Category,0.0004649251653928627,0.0,3
eid,Category,0.00046451925001885435,0.0,2
sim serial number,Category,0.00046451925001885435,0.0,2
session replay,Category,0.00046415971566728483,0.0,4
information to i,Category,0.0004637500303716823,0.0,2
personal data relate to use of product,Category,0.0004637500303716823,0.0,2
race / ethnicity,DataPoint,0.0004619357187854699,3.6246054363803773e-06,11
aggregated usage information,Category,0.00046006763739731146,0.0,2
datum about usage,Category,0.00045965089193513575,0.0,2
domain,Category,0.0004593782059119097,0.0,2
operating system type,Category,0.0004593782059119097,0.0,2
system setting,Category,0.0004593782059119097,0.0,2
time zone,Category,0.0004593782059119097,0.0,2
information regard use of website,Category,0.00045807404543040195,0.0,4
information about use of website,DataPoint,0.00045745980955800355,0.0,5
customer data,DataPoint,0.0004559242043633012,0.0,3
consumer health datum,Category,0.0004539783122259378,0.0,3
zip code help,Category,0.00045349930033748503,0.0,3
device usage information,DataPoint,0.0004534764576255968,0.0,3
feedback,Category,0.00045212692554953996,0.0,4
information we collect about you,Category,0.0004511407777746449,0.0,3
content of communication associate with microsoft product,Category,0.0004508296875773927,0.0,3
request regard personal data,Category,0.0004504260558900156,0.0,2
same type,Category,0.0004504260558900156,0.0,2
personal datum for direct marketing,Category,0.0004497235176099422,0.0,2
datum of individual,Category,0.0004497235176099422,0.0,2
personal datum datum subject give consent to processing of own personal datum for specific purpose,Category,0.0004497235176099422,0.0,2
consumer health datum describe above,Category,0.0004482056130999019,0.0,2
consumer,Category,0.0004482056130999019,0.0,2
personal information relate to individual in european economic area,Category,0.00044789602730093114,0.0,2
specific information from you,Category,0.0004467789824346222,0.0,2
personal information we process,Category,0.0004459001868003653,0.0,4
personal information set in table,Category,0.000444912227312259,0.0,2
bank account information,Category,0.00044430344029058584,0.0,4
sensitive information subject,Category,0.00044356364919763246,0.0,2
personal information require for order creation by,Category,0.00044356364919763246,0.0,2
information about use of services,Category,0.00044355331770170686,0.0,5
personal information we have about you,Category,0.0004431194712331679,0.0,3
information from reseller,Category,0.00044244971644832355,0.0,3
statistical datum involve use of site,Category,0.00044228656990494416,0.0,3
email message,Category,0.00044228656990494416,0.0,3
performance cookies,Category,0.00044228656990494416,0.0,3
personal information subject,Category,0.0004418346234112887,0.0,2
personal data provide,Category,0.0004418346234112887,0.0,2
personal information be,Category,0.00044100628330858636,0.0,2
statistic,Category,0.00043853767670686846,0.0,4
face,Category,0.0004383960776886925,0.0,2
iris,Category,0.0004383960776886925,0.0,2
device configuration datum,Category,0.0004383960776886925,0.0,2
store setting,Category,0.0004383960776886925,0.0,2
personal information include spdi,Category,0.00043760947346167405,0.0,2
education record,Category,0.00043691568045139885,0.0,3
personal information with paypal we use in accordance with privacy statement,Category,0.00043667071379244296,0.0,3
usage information send to we,Category,0.00043657693953569766,0.0,4
information make,Category,0.0004365561750412061,0.0,4
information include personal iinformation,Category,0.0004365561750412061,0.0,4
information use cookies about,Category,0.0004365561750412061,0.0,4
internet connection information,DataPoint,0.0004356795116443737,0.0,3
customer number,DataPoint,0.0004352937431871187,0.0,3
information necessary,Category,0.00043523358418255057,0.0,2
payment information with fastlane,Category,0.0004344495404501249,0.0,4
information with company,Category,0.0004338554723024598,0.0,3
information to third party,Category,0.0004338554723024598,0.0,3
data file,Category,0.0004335733381815858,0.0,2
information from employer include representative of employer,Category,0.0004334010903058947,0.0,3
protected health information,DataPoint,0.0004328210440079461,0.0,3
personal data from source,DataPoint,0.0004328210440079461,0.0,3
browser characteristics,Category,0.000432809622652002,0.0,3
movement,Category,0.0004327279625362302,0.0,3
browser language,Category,0.00043168516149507145,0.0,4
prior prompt history personalize product,Category,0.00043167869051807963,0.0,2
prompt,Category,0.00043167869051807963,0.0,2
file record interaction with website software,Category,0.00043093223365708026,0.0,3
web beacons,Category,0.0004304462903109537,0.0,3
information collect for purpose set in privacy policy,Category,0.00043016769453281084,0.0,3
information with carrier,Category,0.00043016769453281084,0.0,3
operating system name,Category,0.00043016769453281084,0.0,3
device manufacturer,Category,0.00043016769453281084,0.0,3
performance datum,Category,0.0004297210247190903,0.0,3
information for purpose,Category,0.00042946088505651473,0.0,2
personal information with affiliate,Category,0.00042946088505651473,0.0,2
personal information with third party,Category,0.00042946088505651473,0.0,2
personal information for business purpose,Category,0.00042946088505651473,0.0,2
information for security purpose,Category,0.00042911247212313106,0.0,3
personal datum about participant in patient,Category,0.0004291076638852168,0.0,2
personal datum for targeted advertising,Category,0.0004291076638852168,0.0,2
certification,DataPoint,0.0004289325168830518,0.0,3
log,Category,0.00042834291283899966,0.0,3
student datum,Category,0.00042804998127050155,0.0,2
information for we,Category,0.0004271639921325001,0.0,2
sensitive personal information for purpose be,Category,0.0004268146925744607,0.0,2
proof of sign permission from consumer submit request,Category,0.0004267046612963333,0.0,3
consumer health data,Category,0.0004267046612963333,0.0,3
sensitive personal information describe in supplemental notice for,Category,0.0004267046612963333,0.0,3
personal information from public source,Category,0.0004266560457533338,0.0,2
personal data relate to individual in mainland china,Category,0.000426537646411135,0.0,2
personal data relate to individual in asean member state,Category,0.000426537646411135,0.0,2
personal data for accounting purpose,Category,0.000426537646411135,0.0,2
personal information teradyne collect for one,Category,0.000426537646411135,0.0,2
information identify relate to describe,Category,0.000426537646411135,0.0,2
personal data necessary,Category,0.000426537646411135,0.0,2
personal data describe in section,Category,0.000426537646411135,0.0,2
personal information you choose,Category,0.00042580137385506036,0.0,3
information enable we,Category,0.0004256894458347035,0.0,4
personal information collect,Category,0.0004255692701041829,0.0,3
information about health care professional,Category,0.0004255692701041829,0.0,3
business contact,Category,0.0004255692701041828,0.0,3
personal datum for cross - context behavioral advertising,Category,0.0004252079186088941,0.0,2
information we collect about you from mobile application,Category,0.00042481596255427754,0.0,3
sufficient detail allow,Category,0.00042439499540677494,0.0,2
access log information,Category,0.0004241808602204508,0.0,2
chatbot conversation,Category,0.0004239483255930545,0.0,2
personal datum provide,Category,0.0004239483255930545,0.0,2
nature,Category,0.0004239483255930545,0.0,2
marketing contact,Category,0.0004239483255930545,0.0,2
request datum in structured,Category,0.0004239483255930545,0.0,2
datum about performance of zebra product experience,Category,0.0004239483255930545,0.0,2
product preference information,Category,0.0004239483255930545,0.0,2
personal datum cover to third party as part of transaction include due diligence process,Category,0.0004239483255930545,0.0,2
datum it collect for basic purpose process transaction for sale of zebra product,Category,0.0004239483255930545,0.0,2
user interaction,Category,0.0004239483255930545,0.0,2
selection,Category,0.0004239483255930545,0.0,2
datum about hardware,Category,0.0004239483255930545,0.0,2
postal mail,Category,0.0004239483255930545,0.0,2
product feature use datum,Category,0.0004239483255930545,0.0,2
information use for authentication,Category,0.0004239483255930545,0.0,2
account,Category,0.0004237182654327629,0.0,3
gpc signal,Category,0.0004236881859304789,0.0,2
record of request,Category,0.0004236881859304789,0.0,2
information from closed account,Category,0.0004236881859304789,0.0,2
